date,TICKER,label,correct_prediction,predicted_label,reservation,score,incorrect_prediction,reservation_z,score_z,combined_score,Date,Side
2003-08-20,LAYN,1,True,1,3.226633127351164e-10,0.641646683216095,0,0.05712010036584298,7.217023312595592,4.744385753192362,2003-08-20,long
2003-08-20,ANDE,1,True,1,3.7922268103507406e-10,0.6206621527671814,0,0.6389090876159373,6.001414670454536,3.750093683586735,2003-08-20,long
2003-08-20,LION,1,True,1,2.867179549337351e-10,0.5916191935539246,0,-0.31262613160583835,4.3189909298359765,2.747367390261818,2003-08-20,long
2003-08-20,UTMD,1,True,1,3.742977594534125e-10,0.5858668088912964,0,0.588249661504858,3.9857621961345515,2.436480661152201,2003-08-20,long
2003-08-20,RCMT,1,True,1,3.434806050695016e-10,0.5820283889770508,0,0.2712538820636877,3.7634071412391075,2.394334932136794,2003-08-20,long
2003-08-20,BONT,1,True,1,3.8144290503971945e-10,0.5849702954292297,0,0.6617470703225432,3.9338282481752613,2.3779501105892336,2003-08-20,long
2003-08-20,IDSY,1,True,1,3.4247263358544444e-10,0.5807533264160156,0,0.26088554298011557,3.6895442986923928,2.3490070079535412,2003-08-20,long
2003-08-20,FLXS,1,True,1,5.217425380621421e-10,0.5947239995002747,0,2.1049170324548157,4.4988486087934545,2.274617461093591,2003-08-20,long
2003-08-20,HAFC,1,True,1,3.616529575811711e-10,0.5773903727531433,0,0.4581809090355185,3.4947324326056224,2.15532370553799,2003-08-20,long
2003-08-20,PMBC,1,True,1,3.050774910473564e-10,0.5719956755638123,0,-0.12377367014839209,3.1822241045756083,2.0594225978709324,2003-08-20,long
2003-08-20,KBALB,0,True,0,2.071720434093649e-10,0.6190354824066162,0,-1.1308625563871875,5.907183610434791,3.52555653927919,2003-08-20,short
2003-08-20,PICO,0,True,0,2.2857095383077564e-10,0.6010297536849976,0,-0.9107460523218944,4.864133374198493,2.9097818297047806,2003-08-20,short
2003-08-20,SBSI,0,True,0,8.977316112712685e-11,0.6035122871398926,0,-2.338467571794112,5.007943555204041,2.5335484477426102,2003-08-20,short
2003-08-20,RELL,0,True,0,1.6706791505782803e-10,0.5951194763183594,0,-1.543387323185297,4.521758105815587,2.475042533187139,2003-08-20,short
2003-08-20,AROW,0,True,0,2.1476222189509286e-10,0.58304363489151,0,-1.0527873871094848,3.822219117543249,2.1752447798324144,2003-08-20,short
2003-08-20,SUBK,0,True,0,1.8846094129720825e-10,0.5824730396270752,0,-1.3233313458268472,3.7891652192775562,2.0641497006003275,2003-08-20,short
2003-08-20,EXPO,0,True,0,2.946307642304191e-10,0.5712241530418396,0,-0.2312322715717902,3.1375307316359735,1.994463633261052,2003-08-20,short
2003-08-20,EMCI,1,False,0,6.722822992744071e-11,0.5883890986442566,1,-2.5703724371512857,4.131875411731472,1.8788148674828473,2003-08-20,short
2003-08-20,COKE,0,True,0,1.0232745900617957e-10,0.5775551795959473,0,-2.2093297743216542,3.504279495042125,1.5837456412016566,2003-08-20,short
2003-08-20,PWOD,0,True,0,3.247592750277306e-10,0.5578230023384094,0,0.07867988464538778,2.361218168942066,1.5324396295687859,2003-08-20,short
2003-08-21,ESLT,0,False,1,3.245571866816732e-10,0.6165024042129517,1,0.019513844632555667,5.579495530423712,3.676027481350906,2003-08-21,long
2003-08-21,IMKTA,0,False,1,3.3667765797495974e-10,0.6084717512130737,1,0.15372027571634647,5.132869099067618,3.3369659143982333,2003-08-21,long
2003-08-21,NWPX,0,False,1,5.476146203164944e-10,0.6064484119415283,1,2.4893635204797437,5.020340666038983,2.4919348778274135,2003-08-21,long
2003-08-21,ARTNA,0,False,1,3.3347696826169226e-10,0.5833249688148499,1,0.11827997533279971,3.7343255830200817,2.4256224929334302,2003-08-21,long
2003-08-21,CSGP,0,False,1,3.9558215036983313e-10,0.5865216851234436,1,0.8059524792196044,3.912111623207194,2.3160293531742786,2003-08-21,long
2003-08-21,LNBB,0,False,1,2.9584129590531916e-10,0.579828679561615,1,-0.29844880906565974,3.539878731414778,2.237831855742086,2003-08-21,long
2003-08-21,TSEM,1,True,1,4.465694203314996e-10,0.586462140083313,0,1.370519596015734,3.908800013456543,2.127536542196126,2003-08-21,long
2003-08-21,SGMO,1,True,1,3.7691932908145986e-10,0.579245924949646,0,0.5993045215238921,3.50746871286411,2.1171588583874286,2003-08-21,long
2003-08-21,UCFC,1,True,1,3.095398659613835e-10,0.5748889446258545,0,-0.14676855227614194,3.2651543489470916,2.1065682480539536,2003-08-21,long
2003-08-21,BSRR,0,False,1,3.6947397918929425e-10,0.5766059160232544,1,0.5168643413511051,3.3606440691445476,2.0474598529895367,2003-08-21,long
2003-08-21,LAYN,1,False,0,1.9959109365252914e-10,0.6191537380218506,1,-1.3641991270912366,5.726950009831587,3.3296012945487394,2003-08-21,short
2003-08-21,SPNS,0,True,0,2.329254011890214e-10,0.6048064231872559,0,-0.9950980963747095,4.929021121083088,2.924771568111184,2003-08-21,short
2003-08-21,DGAS,0,True,0,1.3197676285159332e-10,0.6144561171531677,0,-2.1128728219778887,5.465690851395077,2.9101079306680475,2003-08-21,short
2003-08-21,DMLP,0,True,0,1.4496995270896207e-10,0.6119298338890076,0,-1.9690030336704463,5.325191083956037,2.864855114299737,2003-08-21,short
2003-08-21,FLXS,1,False,0,2.799088183458309e-10,0.5976138710975647,1,-0.47486446979709207,4.52900584558676,2.8324385830542216,2003-08-21,short
2003-08-21,LION,1,False,0,2.779918795159375e-10,0.5829079747200012,1,-0.49609017239072234,3.711134369991497,2.2856389273054494,2003-08-21,short
2003-08-21,ASRV,0,True,0,1.4697951189468483e-10,0.587912380695343,0,-1.9467517729858157,3.9894554457319127,1.9906125090977433,2003-08-21,short
2003-08-21,UTMD,0,True,0,3.307341622793558e-10,0.5703613758087158,0,0.0879096874836353,3.0133526706092884,1.9598025657325306,2003-08-21,short
2003-08-21,ANDE,0,True,0,2.2185729642298924e-10,0.5733794569969177,0,-1.1176519809198948,3.181203881544447,1.7307694081157698,2003-08-21,short
2003-08-21,AMSWA,0,True,0,3.283950611443487e-10,0.5627665519714355,0,0.06200950524837594,2.590964968479182,1.689573742464296,2003-08-21,short
2003-08-22,MOCO,1,True,1,3.4042255125932286e-10,0.6205029487609863,0,0.2321586794553279,5.583675728469404,3.608613616569549,2003-08-22,long
2003-08-22,CFNL,1,True,1,3.9159384068732095e-10,0.6174592971801758,0,0.7993663625479325,5.419301992347515,3.3129484153085427,2003-08-22,long
2003-08-22,DRCO,1,True,1,2.4551907729097877e-10,0.612414538860321,0,-0.8197979975943418,5.146857610705883,3.12639268385975,2003-08-22,long
2003-08-22,DMLP,1,True,1,3.229097822465832e-10,0.6043753027915955,0,0.038038553750286704,4.712695147264399,3.097826074456909,2003-08-22,long
2003-08-22,THFF,1,True,1,3.7352709814086893e-10,0.6049214601516724,0,0.5991057223461103,4.74219061460117,2.932140917262556,2003-08-22,long
2003-08-22,CSWC,1,True,1,3.768582945706811e-10,0.6026239991188049,0,0.636030338278229,4.61811522570061,2.838066037330587,2003-08-22,long
2003-08-22,IBCA,1,True,1,2.4242791107909056e-10,0.604315459728241,0,-0.8540620008019671,4.709463296428852,2.826405315378393,2003-08-22,long
2003-08-22,ESLT,1,True,1,3.012471105900971e-10,0.5907437205314636,0,-0.20208112932239344,3.9765155794460525,2.557813509758005,2003-08-22,long
2003-08-22,CNBC,0,False,1,2.8517180283849086e-10,0.5890138745307922,1,-0.38026772900968386,3.8830944888591525,2.437354012073845,2003-08-22,long
2003-08-22,CATY,1,True,1,3.2885194567455756e-10,0.5810460448265076,0,0.10390440915894165,3.452788357390762,2.244551860855452,2003-08-22,long
2003-08-22,ARLP,1,False,0,3.108527879547296e-10,0.6005603075027466,1,-0.09560708765896041,4.506664656498272,2.942848334361403,2003-08-22,short
2003-08-22,ZOLT,1,False,0,1.5473489156647702e-10,0.6149680614471436,1,-1.8260944623081852,5.284761715930657,2.885331559952532,2003-08-22,short
2003-08-22,TAGS,0,True,0,2.67513761142979e-10,0.5982199907302856,0,-0.5759981284196277,4.380274824618868,2.700902001869976,2003-08-22,short
2003-08-22,RCMT,0,True,0,2.1848918507760828e-10,0.600123941898346,0,-1.1194105871532074,4.483098540993252,2.5894395432949877,2003-08-22,short
2003-08-22,TSEM,0,True,0,2.6768240402041954e-10,0.5918195843696594,0,-0.5741288080086632,4.034618077037313,2.4733854242017674,2003-08-22,short
2003-08-22,EDGW,1,False,0,2.5637664213817857e-10,0.5834606289863586,1,-0.6994474207406282,3.583189032040177,2.13408711230211,2003-08-22,short
2003-08-22,IMKTA,1,False,0,2.490329331639174e-10,0.5787754654884338,1,-0.7808486947589055,3.3301647261862493,1.940228650012486,2003-08-22,short
2003-08-22,NVMI,0,True,0,8.536593654184799e-11,0.5931466817855835,0,-2.5950140009381153,4.106288553982986,1.8537958253191928,2003-08-22,short
2003-08-22,LACO,1,False,0,4.142963194730953e-10,0.5698671340942383,1,1.0510117781018444,2.849066389205809,1.5335499301022253,2003-08-22,short
2003-08-22,PICO,0,True,0,1.392503334862738e-10,0.5785195231437683,0,-1.9977329027415307,3.3163424478119072,1.5295341576511534,2003-08-22,short
2003-08-25,PROV,1,True,1,2.963871092998005e-10,0.6470350027084351,0,-0.4968832084861935,4.3200381122634,2.6872536952934,2003-08-25,long
2003-08-25,ROCK,0,False,1,3.322954966744618e-10,0.63228839635849,1,-0.09837612532086967,3.7993287060268863,2.475092824621858,2003-08-25,long
2003-08-25,COLB,0,False,1,3.1457836335846423e-10,0.631668210029602,1,-0.2949987986295444,3.777429643462404,2.395753961137437,2003-08-25,long
2003-08-25,GABC,1,True,1,3.649648361303548e-10,0.630615234375,0,0.26418438288765456,3.7402485921155373,2.381383224443329,2003-08-25,long
2003-08-25,HFWA,1,True,1,2.5744337217581403e-10,0.6377419829368591,0,-0.9290762481487933,3.991897339222455,2.3280570819977187,2003-08-25,long
2003-08-25,EPAX,1,True,1,3.079315691323359e-10,0.6242893934249878,0,-0.36876414352842574,3.5168802586250494,2.1994488033281523,2003-08-25,long
2003-08-25,SMRT,1,True,1,3.5328515113342007e-10,0.6187865138053894,0,0.13456460487159555,3.322571065627383,2.1484905837064465,2003-08-25,long
2003-08-25,GSBC,0,False,1,3.428467232335919e-10,0.6162712574005127,1,0.018720152939247944,3.233756213041261,2.128101450137281,2003-08-25,long
2003-08-25,PICO,1,True,1,3.1457036975268693e-10,0.6195318102836609,0,-0.2950875107315124,3.3488878247149647,2.1128870857704776,2003-08-25,long
2003-08-25,FUNC,1,True,1,3.501766099311965e-10,0.6145808100700378,0,0.1000663781906755,3.1740657456321997,2.061861487314329,2003-08-25,long
2003-08-25,CSWC,0,True,0,2.8916691263702887e-10,0.5989346504211426,0,-0.5770121065606163,2.6215927015078275,1.5398371878301629,2003-08-25,short
2003-08-25,CFNL,1,False,0,2.1922803850049633e-10,0.599621593952179,1,-1.3531855515336293,2.645848991373821,1.299709102300624,2003-08-25,short
2003-08-25,UTMD,0,True,0,2.308143953744235e-10,0.5961180329322815,0,-1.2246015181108592,2.522136651389171,1.2604916889402695,2003-08-25,short
2003-08-25,ININ,1,False,0,2.345228455880033e-10,0.571727991104126,1,-1.183445571388497,1.6609131334460148,0.7056656295161656,2003-08-25,short
2003-08-25,BRID,0,True,0,2.0080348495099543e-10,0.5741613507270813,0,-1.557659091852402,1.7468361732533186,0.6388843740358977,2003-08-25,short
2003-08-25,SHBI,1,False,0,2.8985042144213935e-10,0.5554960370063782,1,-0.5694266057860926,1.0877554197508852,0.5300077971261736,2003-08-25,short
2003-08-25,BRLI,1,False,0,3.151558736202986e-10,0.5505963563919067,1,-0.2885896572904916,0.9147454591561562,0.5084974161372009,2003-08-25,short
2003-08-25,ASRV,1,False,0,2.218621952820854e-10,0.5611113905906677,1,-1.3239519876679358,1.2860361198181505,0.4118796831495605,2003-08-25,short
2003-08-25,STNR,0,True,0,1.6765239196914195e-10,0.567455530166626,0,-1.9255660443451545,1.5100505861493203,0.3611965922246504,2003-08-25,short
2003-08-25,ARLP,0,True,0,2.9281035929251686e-10,0.5438670516014099,0,-0.5365775617230074,0.677130633162162,0.2698356225184345,2003-08-25,short
2003-08-26,HDNG,0,False,1,3.17314285958048e-10,0.6426101326942444,1,-0.4486766247305189,4.686614160011417,2.945102059446464,2003-08-26,long
2003-08-26,STLY,0,False,1,3.719365093690641e-10,0.6325024366378784,1,0.0946739389650565,4.293565771234693,2.802511009156429,2003-08-26,long
2003-08-26,BELFA,0,False,1,2.6407731557043235e-10,0.6289153695106506,1,-0.978247485511734,4.154078894410487,2.4188704000920493,2003-08-26,long
2003-08-26,BWINB,1,True,1,3.965713035736229e-10,0.6200321912765503,0,0.33972674864017516,3.8086471686582475,2.4015973042631855,2003-08-26,long
2003-08-26,ATRI,0,False,1,3.6071803877213426e-10,0.6104472875595093,1,-0.01692097500936653,3.435928109680382,2.2621286306359614,2003-08-26,long
2003-08-26,SHEN,1,True,1,3.095185219237351e-10,0.6157300472259521,0,-0.5262244160499647,3.6413537738090835,2.229639433417507,2003-08-26,long
2003-08-26,AUBN,0,False,1,3.469314835413684e-10,0.6083235144615173,1,-0.1540617226440751,3.3533429597472924,2.162365984960668,2003-08-26,long
2003-08-26,DGICB,1,True,1,3.0530242223214543e-10,0.6131194233894348,0,-0.5681637587014754,3.5398369210146234,2.1487983274981644,2003-08-26,long
2003-08-26,RCMT,1,True,1,3.78435449643888e-10,0.6055893301963806,0,0.15932167099123537,3.247021329769725,2.0904579262209113,2003-08-26,long
2003-08-26,EMCI,1,True,1,3.78158448999244e-10,0.6036808490753174,0,0.15656622738216053,3.1728080347258696,2.042386447882961,2003-08-26,long
2003-08-26,UBFO,0,True,0,1.8960050196525913e-10,0.6153357625007629,0,-1.719100129867106,3.626021597703799,1.8258712116283624,2003-08-26,short
2003-08-26,ANAT,0,True,0,3.212079213721353e-10,0.5971137285232544,0,-0.4099449718435604,2.9174386471328195,1.790227666399286,2003-08-26,short
2003-08-26,HFWA,0,True,0,2.87899176720785e-10,0.5996997952461243,0,-0.7412812678071757,3.0180005707427933,1.7472575583138759,2003-08-26,short
2003-08-26,PWOD,0,True,0,2.5939317360723635e-10,0.5998564958572388,0,-1.0248426443536083,3.0240940387671005,1.6577039929495956,2003-08-26,short
2003-08-26,COBR,0,True,0,2.3814047955816875e-10,0.6014301180839539,0,-1.2362522606322746,3.0852859936205568,1.628325509780917,2003-08-26,short
2003-08-26,SMRT,0,True,0,2.717718827760507e-10,0.5950706005096436,0,-0.9017063422282288,2.8379894660992684,1.5755099546902018,2003-08-26,short
2003-08-26,ISSC,0,True,0,2.9615365715329744e-10,0.5896288156509399,0,-0.6591704287395156,2.626379940164233,1.5158845190243537,2003-08-26,short
2003-08-26,FMFC,1,False,0,2.1095263036396972e-10,0.6004124879837036,1,-1.5067013976836794,3.045714377196442,1.5129600277140374,2003-08-26,short
2003-08-26,LANC,0,True,0,2.534384924146593e-10,0.5834382176399231,0,-1.084076399052097,2.3856520274702127,1.2167851264431484,2003-08-26,short
2003-08-26,WTBA,1,False,0,2.5447688400959123e-10,0.5826816558837891,1,-1.0737470747732685,2.356232328104472,1.200776801873773,2003-08-26,short
2003-08-27,ARTNA,0,False,1,3.5333450054686466e-10,0.6338923573493958,1,-0.030350143579955847,5.246375944276575,3.4525925758411544,2003-08-27,long
2003-08-27,UBFO,1,True,1,2.99572200379572e-10,0.6128740906715393,0,-0.5435517100720297,4.276387222932385,2.6430435028116044,2003-08-27,long
2003-08-27,SVBI,1,True,1,2.6195637325976406e-10,0.6161892414093018,0,-0.9026230545403741,4.429380753487084,2.6255256893031524,2003-08-27,long
2003-08-27,ONFC,1,True,1,2.3052400266454498e-10,0.6027607321739197,0,-1.2026686585757371,3.8096577904841555,2.1174934843895494,2003-08-27,long
2003-08-27,FRBK,1,True,1,4.84945805734327e-10,0.6005248427391052,0,1.2259786924277574,3.7064719489881224,2.041698517831001,2003-08-27,long
2003-08-27,DMLP,0,False,1,4.619973015262957e-10,0.5937261581420898,1,1.0069179701081328,3.3927140411569736,1.906908337027919,2003-08-27,long
2003-08-27,FSBK,1,True,1,3.324123476478036e-10,0.5808330774307251,0,-0.23006781951222674,2.7977009953581096,1.7705602764973176,2003-08-27,long
2003-08-27,FFKY,1,True,1,3.4245350999384527e-10,0.5779054164886475,0,-0.1342173772998447,2.662590039861144,1.7130176917994062,2003-08-27,long
2003-08-27,RVSB,1,True,1,3.690007743806234e-10,0.5775052309036255,0,0.1191962159984246,2.644121556714301,1.7057854761519586,2003-08-27,long
2003-08-27,OCFC,1,True,1,3.1991539972686667e-10,0.5780077576637268,0,-0.34936058097216965,2.667313064222647,1.645137630666131,2003-08-27,long
2003-08-27,CVGW,0,True,0,1.6379156364543235e-10,0.6267793774604797,0,-1.839679949645466,4.918113372812226,2.6388604426730655,2003-08-27,short
2003-08-27,LNBB,0,True,0,2.468151516499262e-10,0.6092599630355835,0,-1.0471573959765275,4.1095959694905,2.3667713991914763,2003-08-27,short
2003-08-27,GABC,1,False,0,2.7270963265380033e-10,0.6051406264305115,1,-0.7999751107443911,3.9194894251411623,2.3228712340475184,2003-08-27,short
2003-08-27,DGICA,0,True,0,2.031483731235184e-10,0.6102526187896729,0,-1.4639896199268039,4.155406830129094,2.2594519333093563,2003-08-27,short
2003-08-27,COLB,0,True,0,2.1489661439222374e-10,0.6071512699127197,0,-1.3518438262411685,4.012280211854366,2.201996477164296,2003-08-27,short
2003-08-27,PROV,0,True,0,2.3175460162061512e-10,0.6042506098747253,0,-1.1909216665383147,3.8784153425750825,2.1667499761419107,2003-08-27,short
2003-08-27,TSBK,0,True,0,2.2159238333152587e-10,0.6005522608757019,0,-1.2879276787209522,3.7077372904012216,2.0220904776868918,2003-08-27,short
2003-08-27,BSRR,0,True,0,2.8943253349567044e-10,0.5935230851173401,0,-0.6403424521409833,3.3833422624734326,2.021692884025941,2003-08-27,short
2003-08-27,CITZ,0,True,0,2.4721116820280997e-10,0.5969900488853455,0,-1.043377120306321,3.5433419334176177,1.9942912263545418,2003-08-27,short
2003-08-27,PMBC,1,False,0,2.544878474619594e-10,0.5962045192718506,1,-0.973915747131522,3.507089901932327,1.9932871387219335,2003-08-27,short
2003-08-28,IMKTA,0,False,1,2.0441817683014563e-10,0.6439775824546814,1,-1.3329754615508176,6.0457129225041495,3.550288626540969,2003-08-28,long
2003-08-28,FSTR,1,True,1,4.614883197806563e-10,0.6096218824386597,0,1.2338595787716016,4.3609925433837216,2.471081417638628,2003-08-28,long
2003-08-28,MARPS,0,False,1,3.573421281100053e-10,0.5949670076370239,1,0.1939640427589829,3.6423529516926685,2.3399448140066967,2003-08-28,long
2003-08-28,DGICA,0,False,1,4.616637627741227e-10,0.6050119996070862,1,1.2356113700066316,4.134935046430162,2.321305378541719,2003-08-28,long
2003-08-28,PENX,1,True,1,3.424878713964574e-10,0.5922859311103821,0,0.045644886778198696,3.5108794477236476,2.3021176228608016,2003-08-28,long
2003-08-28,HFBC,0,False,1,3.4601346787788145e-10,0.587960958480835,1,0.08084782587758217,3.2987932575212033,2.150523767424392,2003-08-28,long
2003-08-28,CVGW,0,False,1,2.7307819894240026e-10,0.5931838750839233,1,-0.6474079016456769,3.5549124469298303,2.1325976074306148,2003-08-28,long
2003-08-28,DGAS,1,True,1,2.4871607551268937e-10,0.5952026844024658,0,-0.8906627244668561,3.653909969871311,2.117661881041003,2003-08-28,long
2003-08-28,PEBO,1,True,1,4.1872269540554896e-10,0.5922921895980835,0,0.8068465390331646,3.5111863488133688,2.0511236323358792,2003-08-28,long
2003-08-28,GCOM,1,True,1,3.5233502226894586e-10,0.5789371728897095,0,0.1439682922765602,2.8562886520236384,1.8376409738843367,2003-08-28,long
2003-08-28,HDNG,1,False,0,1.6138482217264993e-10,0.6319350600242615,1,-1.7626617773932094,5.455176768530227,3.018738280690191,2003-08-28,short
2003-08-28,UBFO,1,False,0,1.6665402391424777e-10,0.6273432374000549,1,-1.7100490098830399,5.230004900435577,2.8874870610260777,2003-08-28,short
2003-08-28,THFF,0,True,0,2.368711893296904e-10,0.6131672263145447,0,-1.008933436709801,4.534847626409474,2.6600513993160186,2003-08-28,short
2003-08-28,TAXI,0,True,0,1.4786678825817745e-10,0.6218878626823425,0,-1.8976388024560333,4.96248652769445,2.649020303467846,2003-08-28,short
