iter	Logloss
183	0.6902781201
184	0.69026209
185	0.6902455545
186	0.690229603
187	0.6902104335
188	0.6901941708
189	0.6901787794
190	0.6901622568
191	0.6901432714
192	0.6901257993
193	0.6901143514
194	0.6900991455
195	0.6900788776
196	0.6900643444
197	0.6900485552
198	0.6900315087
199	0.6900160061
200	0.6899961951
201	0.6899804638
202	0.6899691543
203	0.6899581305
204	0.6899422742
205	0.6899230273
206	0.6899062052
207	0.6898906591
208	0.6898739388
209	0.6898585248
210	0.6898413594
211	0.6898251677
212	0.6898104054
213	0.6897971777
214	0.6897862099
215	0.6897693118
216	0.6897520227
217	0.6897339108
218	0.689716631
219	0.6897003142
220	0.6896836601
221	0.6896679432
222	0.689651549
223	0.6896345407
224	0.6896200982
225	0.6896034659
226	0.6895894749
227	0.6895761128
228	0.689561999
229	0.6895488901
230	0.68953698
231	0.6895217475
232	0.6895046176
233	0.6894902133
234	0.6894771238
235	0.6894642635
236	0.6894464243
237	0.6894319709
238	0.6894145479
239	0.6894023649
240	0.6893830491
241	0.6893701218
242	0.6893563607
243	0.6893383477
244	0.6893235791
245	0.6893041169
246	0.6892900503
247	0.6892722186
248	0.6892578729
249	0.6892439158
250	0.6892266184
251	0.6892064643
252	0.6891910484
253	0.6891751826
254	0.6891562428
255	0.6891407086
256	0.6891255586
257	0.6891138076
258	0.6890993438
259	0.6890851726
260	0.6890692998
261	0.6890552125
262	0.6890424306
263	0.6890300934
264	0.6890181544
265	0.6890021834
266	0.6889847585
267	0.6889676804
268	0.6889534109
269	0.6889398749
270	0.6889272678
271	0.6889142449
272	0.6888993848
273	0.6888839059
274	0.6888668833
275	0.6888547093
276	0.6888388544
277	0.6888276738
278	0.6888150358
279	0.688793608
280	0.6887730964
281	0.6887580626
282	0.6887415959
283	0.6887303495
284	0.6887187388
285	0.6886979356
286	0.6886881528
287	0.6886745065
288	0.6886593921
289	0.6886395384
290	0.6886272845
291	0.6886144433
292	0.688598332
293	0.6885854213
294	0.6885731641
295	0.6885617051
296	0.6885495285
297	0.6885307628
298	0.6885164828
299	0.6885035615
300	0.6884924744
301	0.6884775382
302	0.6884658662
303	0.6884474909
304	0.6884320384
305	0.6884190834
306	0.6884039526
307	0.6883904698
308	0.6883723716
309	0.6883572357
310	0.6883402577
311	0.6883277946
312	0.6883149829
313	0.6882999252
314	0.6882843801
315	0.6882711334
316	0.6882554006
317	0.6882413947
318	0.6882273362
319	0.6882108508
320	0.688194379
321	0.6881839012
322	0.6881712562
323	0.6881537537
324	0.688139729
325	0.6881214507
326	0.6881096909
327	0.6880997037
328	0.6880856923
329	0.6880684386
330	0.6880539581
331	0.6880414383
332	0.6880245029
333	0.6880118227
334	0.6879972373
335	0.6879808418
336	0.6879679358
337	0.6879558391
338	0.6879429408
339	0.687926599
340	0.6879127409
341	0.6878954129
342	0.6878823973
343	0.6878632717
344	0.6878464097
345	0.6878332399
346	0.68781612
347	0.6878033815
348	0.6877849469
349	0.687772426
350	0.68775579
351	0.687739695
352	0.6877270284
353	0.6877167572
354	0.6877038238
355	0.6876923793
356	0.6876764976
357	0.6876594096
358	0.6876431785
359	0.6876286224
360	0.6876131624
361	0.6875985775
362	0.6875858379
363	0.6875718436
364	0.6875566335
365	0.6875433244
366	0.6875262754
367	0.687513692
368	0.6875018174
369	0.6874873906
370	0.6874657621
371	0.6874507027
372	0.6874390059
373	0.6874278181
374	0.6874106399
375	0.6873955267
376	0.6873816758
377	0.6873683702
378	0.6873504725
379	0.6873360576
380	0.6873199072
381	0.687304916
382	0.6872905611
383	0.6872721083
